Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-01-08,72.600000002117,74.449982610867,72.500034784723,73.299965219529,147493
2023-01-15,73.700034784758,75.949982610911,72.349982610806,72.800034784732,464638
2023-01-22,72.99996521952,75.39996521959,71.749982610788,71.749982610788,423677
2023-01-29,71.799965219485,75.600000002205,71.799965219485,74.650017393482,265454
2023-02-05,74.050017393464,79.800000002327,74.000034784767,78.999965219695,365376
2023-02-12,78.999965219695,81.649982611077,77.000034784855,78.699965219687,399995
2023-02-19,78.999965219695,80.900034784968,78.500034784898,79.75001739363,279644
2023-02-26,80.000034784942,80.100000002336,77.499965219652,78.900000002301,192532
2023-03-05,78.900000002301,80.700000002354,78.600000002293,79.599965219713,227239
2023-03-12,80.400000002345,80.900034784968,77.300034784863,77.499965219652,319691
2023-03-19,77.600034784872,77.600034784872,72.300000002109,73.049947828218,404324
2023-03-26,72.99996521952,76.349947828314,71.749982610788,75.049982610885,332092
2023-04-02,75.049982610885,76.649947828323,74.799965219573,76.100034784828,319786
2023-04-09,76.599965219625,76.649947828323,74.700000002179,75.099965219582,158892
2023-04-16,75.600000002205,79.849982611025,75.049982610885,79.100034784916,222710
2023-04-23,79.450017393622,85.299965219879,79.299965219704,83.050017393727,693769
2023-04-30,83.050017393727,85.949947828594,82.249982611095,84.399965219853,281109
2023-05-07,84.349982611156,88.200000002573,84.349982611156,85.949947828594,418419
2023-05-14,86.000034785117,90.949982611348,85.549982611191,88.849982611287,562894
2023-05-21,88.549982611278,90.949982611348,86.350017393823,89.35001739391,346095
2023-05-28,89.35001739391,91.849982611375,83.549947828524,84.900000002476,424653
2023-06-04,84.900000002476,85.800000002502,81.699965219774,83.799965219835,460422
2023-06-11,84.200034785065,86.149982611208,83.749982611138,84.349982611156,354770
2023-06-18,80.9792,84.2,78.8708,81.65,839363
2023-06-25,81.65,83.75,80.15,80.15,274637
2023-07-02,80.1,81.1,77.6,80.25,221654
2023-07-09,80,81.6,78.1,79.15,244286
2023-07-16,79.85,81.6,78.2,80.95,389637
2023-07-23,81,82,79.85,80.1,158480
2023-07-30,80.5,81.2,78.9,79.55,281997
2023-08-06,79.3,80.7,77.65,78,249127
2023-08-13,78,78.95,76.2,78.2,228712
2023-08-20,76.35,78.8,73.9,75.65,166770
2023-08-27,75.75,77,72.4,72.45,268210
2023-09-03,72.5,76,72,74.3,259212
2023-09-10,74.95,79,71.2,77.1,394599
2023-09-17,76.85,76.95,73.5,73.5,584090
2023-09-24,74.45,75.5,71.8,72.45,259703
2023-10-01,72.65,73,70.15,71.7,281290
